baseline_accuracy,corrected_accuracy,net_accuracy_gain,agreement_zone_rows,agreement_zone_preservation,agreement_zone_changes,disagreement_zone_rows,disagreement_zone_recovery_rate,rows_changed,changed_row_precision,fold,q_hat
0.4298056155507559,0.5053995680345572,0.0755939524838013,199.0,1.0,0.0,264.0,0.13257575757575757,38.0,0.9210526315789473,0,0.8016032064128257
0.4837758112094395,0.5486725663716814,0.06489675516224186,164.0,1.0,0.0,175.0,0.12571428571428572,22.0,1.0,1,0.7980769230769231
0.5555555555555556,0.5833333333333334,0.02777777777777779,480.0,1.0,0.0,384.0,0.0625,25.0,0.96,2,0.8421052631578947
0.5160599571734475,0.5781584582441114,0.062098501070663836,241.0,1.0,0.0,226.0,0.12831858407079647,29.0,1.0,3,0.8291139240506329
0.49444444444444446,0.5444444444444444,0.04999999999999993,178.0,1.0,0.0,182.0,0.0989010989010989,18.0,1.0,4,0.7900990099009901
